instance,method,plan_obj,time_s,oos_mean,oos_std,oos_cv,oos_p50,oos_p95,disappointment_rate,disappointment_mean,budget_exceed_rate,service_fail_rate,unmet_mean_t,recycled_mean_t
batch5,ROB,1057602802.8192327,1.1089856624603271,796933079.8277645,162558911.88248855,0.2039806302401467,775947557.680136,1203311078.5633616,0.11111111111111108,16189808.416014321,0.875352509870276,0.11111111111111108,27500.000000000367,3893523.070004235
batch6,DET,689833011.6748035,0.12996196746826172,910462108.6162865,506322197.9856988,0.5561156177660194,723429321.502406,2255693816.3770685,0.5470953186689226,260966816.69102582,0.5470953186689226,0.5166384658770444,510957.7376255594,3452286.421742774
batch6,SAA,802593359.034002,12.588628053665161,801157209.6557302,155691296.09903672,0.19433301507196035,789487328.1411157,1174796367.4570312,0.4421883812746755,49434271.400009565,0.8652002256063167,0.0,0.0,3869848.6902926816
batch6,DRO(0.05),818485199.2261921,12.571665048599243,804794824.8690721,151137569.67113516,0.18779639853638838,794423117.6515944,1164750752.575517,0.2735476593344613,43113251.94338438,0.8787366046249292,0.0,0.0,3869848.6902926816
batch6,DRO(0.10),867353266.9378364,12.69358491897583,818093561.260745,148054187.52388024,0.18097463974134861,808983313.2076163,1168525283.7743402,0.16525662718556114,34653154.591984615,0.8821206993795823,0.0,0.0,3810512.916844936
batch6,DRO(0.20),1056094161.971187,12.870083093643188,822298859.8053629,149849481.3990967,0.182232383776582,812647658.4483855,1178082414.681059,0.11111111111111108,13554250.301096871,0.8821206993795823,0.0,0.0,3810512.9168449366
batch6,ROB,1084058802.3474479,1.083556890487671,798816060.4152366,152592990.06825107,0.19102393858847924,787823117.6515944,1163627195.5498092,0.11111111111111108,8840932.578040147,0.8652002256063167,0.0,0.0,3869879.7657559365
batch7,DET,713160326.8215654,0.1765429973602295,890099782.7847656,467930357.5768952,0.5257055069858894,729581463.1129847,2149569201.4006033,0.5538635081782289,216336611.0995655,0.5538635081782289,0.4726452340665537,401554.5029896214,3579722.33921538
batch7,SAA,817312451.4221153,12.615033864974976,820211636.116097,155308695.66545564,0.1893519779856823,800022746.5289509,1195837949.6381772,0.41849971799210367,49730176.20155613,0.8787366046249292,0.0,0.0,3901659.251437314
batch7,DRO(0.05),831163882.4427372,12.861999988555908,823681565.8814994,141005120.07417345,0.17118887433552135,809658678.7646109,1153987487.7279794,0.3846587704455724,41380023.23514948,0.8821206993795823,0.0,0.0,3836054.0548127205
batch7,DRO(0.10),872144520.0726519,13.011956930160522,829185646.4663529,139448477.54954574,0.16817521883527242,815755707.6870468,1154568174.053339,0.16187253243090802,32411136.60266825,0.8821206993795823,0.0,0.0,3820806.711795845
batch7,DRO(0.20),1047810036.4214414,13.173138856887817,831385646.466353,139448477.54954574,0.1677301961397157,817955707.6870468,1156768174.053339,0.11111111111111108,12106459.736877505,0.8821206993795823,0.0,0.0,3820806.711795845
batch7,ROB,1085591390.8459888,1.1244988441467285,815192246.4713213,152122147.18128827,0.18660892303597243,796902268.2912093,1180990552.1015856,0.11111111111111108,10599906.806177428,0.8787366046249292,0.11111111111111108,3411.1111111116147,3890654.4961928087
batch8,DET,690505605.256813,0.11648774147033691,858621826.9757487,471684411.5670269,0.5493505950441548,700443345.6388015,2151247388.0994463,0.5640157924421885,204106779.2513866,0.5640157924421885,0.37789058093626615,382783.69586251496,3672057.999847438
batch8,SAA,798422416.2196394,12.661432027816772,797794528.2594755,134266312.27278683,0.1682968577958433,791195916.2042109,1105823886.847434,0.4421883812746755,41556569.495003074,0.8821206993795823,0.0,0.0,3879581.302169351
batch8,DRO(0.05),816273212.1954539,12.767273902893066,805629019.8861154,127841455.27986367,0.1586852659527278,801098981.6697587,1092556904.9203,0.3880428652002255,35571458.90961711,0.8855047941342353,0.0,0.0,3838592.811863119
batch8,DRO(0.10),857491981.7248418,12.890010118484497,813004410.40835,128834843.91822325,0.1584675830399407,808272648.9020754,1103026879.1315026,0.14833615341229547,27721816.861967783,0.8888888888888885,0.0,0.0,3803205.7092998973
batch8,DRO(0.20),1020584663.9681958,12.961173057556152,817642619.0250561,127586865.09274897,0.15604233698688735,813472648.9020754,1103237522.7401261,0.11111111111111108,9183650.974658923,0.8888888888888885,0.0,0.0,3803205.7092998973
batch8,ROB,1032362435.417989,1.090785026550293,800841617.0906227,148647277.71833816,0.18561382743614002,788285370.3696855,1157384993.951233,0.11111111111111108,13891395.392582651,0.8821206993795823,0.11111111111111108,19944.44444444418,3897947.315241247
batch9,DET,741763224.0261792,0.13504815101623535,925428666.6843534,476333232.48760694,0.5147163143262293,753213716.0516728,2199377899.3660107,0.5572476029328821,226754596.09783185,0.5572476029328821,0.3784545967287083,405337.7684507725,3567413.40375348
batch9,SAA,848630639.0402235,12.620871305465698,848544384.3571742,155462907.88809103,0.18321128600228023,835415348.0709406,1213965976.4044564,0.44895657078398177,49178751.655845076,0.875352509870276,0.0,0.0,3888660.4516040618
batch9,DRO(0.05),863590356.7570719,12.708744049072266,852170485.4023184,149284301.54625556,0.17518126255660793,841664609.0900856,1197763559.800622,0.3981951494641849,42683599.34300348,0.875352509870276,0.0,0.0,3846830.386244585
batch9,DRO(0.10),906636937.2196785,12.665228128433228,859242872.0901761,146676822.0823024,0.17070472953182544,849698834.0028751,1196351992.0429888,0.15848843767625484,33128960.226708442,0.875352509870276,0.0,0.0,3805000.320885108
batch9,DRO(0.20),1089880664.8720407,12.85165810585022,867351032.4845378,148178929.15422612,0.17084078257192561,856969860.7453122,1209376490.5770216,0.11111111111111108,13277313.96722009,0.8855047941342353,0.0,0.0,3805000.320885108
batch9,ROB,1115314173.3679464,1.0875201225280762,841955138.0733385,149046918.44586027,0.17702477448730472,831660334.9722462,1186211494.8087013,0.11111111111111108,7877480.160083874,0.8685843203609698,0.0,0.0,3888660.4516040618
batch10,DET,689074765.4283177,0.13545703887939453,907314189.9387932,506486513.722479,0.5582261573101224,706046633.3820221,2259754576.6546164,0.5437112239142694,257193398.81757036,0.5437112239142694,0.49971799210377876,504790.7170949882,3542398.043091195
batch10,SAA,794954446.3790326,12.48937702178955,798970790.3847675,142956040.51592475,0.17892524011682595,790926782.9688697,1135185946.7653687,0.4591088550479412,48135734.48660355,0.875352509870276,0.0,0.0,3928003.4711935637
batch10,DRO(0.05),808801991.972321,12.658052921295166,801267212.8754547,138855934.15925705,0.17329541497268303,794284809.5106728,1125436113.544029,0.41511562323745055,41817342.67310217,0.875352509870276,0.0,0.0,3917369.1702990304
batch10,DRO(0.10),853862192.032258,12.775905132293701,812114247.3623021,139312974.10935006,0.171543566144579,804757361.8550382,1137875609.2464578,0.16864072194021426,32941926.820212398,0.8787366046249292,0.0,0.0,3861149.6740415236
batch10,DRO(0.20),1023300935.6158825,12.938363790512085,818952819.6145386,138118878.20493913,0.16865303457890085,812157361.8550383,1140792689.3105426,0.11111111111111108,13054639.29940667,0.8821206993795823,0.0,0.0,3861149.6740415236
batch10,ROB,1062741719.6962671,1.1184639930725098,800017186.5018325,174521103.7977788,0.21814669327404385,778648766.6996441,1239760682.5423853,0.11111111111111108,19668773.649568684,0.8618161308516635,0.11111111111111108,35055.55555555584,3922026.2031268277
